joint_data_pelvis_tx,joint_data_pelvis_ty,joint_data_pelvis_tilt,joint_data_hip_flexion_r,joint_data_knee_r_translation1,joint_data_knee_r_translation2,joint_data_knee_angle_r,joint_data_ankle_angle_r,joint_data_mtp_angle_r,joint_data_hamstrings_r_semimem_r-P2_x,joint_data_hamstrings_r_semimem_r-P2_y,joint_data_rect_fem_r_rect_fem_r-P3_x,joint_data_rect_fem_r_rect_fem_r-P3_y,joint_data_vasti_r_vas_int_r-P4_x,joint_data_vasti_r_vas_int_r-P4_y,joint_data_gastroc_r_med_gas_r-P2_x,joint_data_gastroc_r_med_gas_r-P2_y,joint_data_gastroc_r_med_gas_r-P2_z,joint_data_hip_flexion_l,joint_data_knee_l_translation1,joint_data_knee_l_translation2,joint_data_knee_angle_l,joint_data_ankle_angle_l,joint_data_mtp_angle_l,joint_data_hamstrings_l_semimem_l-P2_x,joint_data_hamstrings_l_semimem_l-P2_y,joint_data_rect_fem_l_rect_fem_l-P3_x,joint_data_rect_fem_l_rect_fem_l-P3_y,joint_data_vasti_l_vas_int_l-P4_x,joint_data_vasti_l_vas_int_l-P4_y,joint_data_gastroc_l_med_gas_l-P2_x,joint_data_gastroc_l_med_gas_l-P2_y,joint_data_gastroc_l_med_gas_l-P2_z,joint_data_r_shoulder_abd,joint_data_r_shoulder_rot,joint_data_r_shoulder_flex,joint_data_r_elbow_flex,joint_data_r_wrist_rot,joint_data_r_wrist_flex,joint_data_r_wrist_dev,joint_data_l_shoulder_abd,joint_data_l_shoulder_rot,joint_data_l_shoulder_flex,joint_data_l_elbow_flex,joint_data_l_wrist_rot,joint_data_l_wrist_flex,joint_data_l_wrist_dev,joint_data_iliopsoas_r_psoas_r-P3_x,joint_data_iliopsoas_r_psoas_r-P3_y,joint_data_iliopsoas_r_psoas_r-P3_z,joint_data_iliopsoas_l_psoas_l-P3_x,joint_data_iliopsoas_l_psoas_l-P3_y,joint_data_iliopsoas_l_psoas_l-P3_z,sensor_data_r_foot,sensor_data_r_toes,sensor_data_l_foot,sensor_data_l_toes,sensor_data_r_knee_sensor,sensor_data_l_knee_sensor,sensor_data_r_hip_sensor,sensor_data_l_hip_sensor,sensor_data_r_ankle_sensor,sensor_data_l_ankle_sensor,sensor_data_r_mtp_sensor,sensor_data_l_mtp_sensor,time
[0.0338],[0.901],[0.1548],[-0.2088],[0.0048],[-0.4085],[-0.9204],[-0.3829],[0.873],[-0.0276],[-0.0472],[0.013],[0.0297],[-0.0141],[0.038],[-0.0312],[-0.4035],[-0.0254],[0.2162],[2.4803e-06],[-0.3963],[-0.3572],[0.0095],[0.2078],[-0.0311],[-0.0398],[0.0386],[0.0348],[0.0317],[0.0595],[-0.0286],[-0.4016],[0.0253],[0.12],[2.7306e-05],[-0.0004],[-6.5097e-05],[-1.1524e-06],[-2.7043e-06],[-6.4174e-06],[0.11],[-1.2471e-05],[0.0004],[-6.6771e-05],[-4.9287e-06],[-1.051e-06],[-6.4678e-06],[-0.037],[-0.0735],[0.0793],[-0.0323],[-0.0759],[-0.0799],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[2.0076],[0.],0.0
[0.0628],[0.9109],[0.1615],[-0.0685],[0.0052],[-0.4074],[-1.1921],[-0.2791],[0.7976],[-0.0275],[-0.0475],[0.0101],[0.0379],[-0.0193],[0.0576],[-0.0323],[-0.4024],[-0.0247],[0.1557],[-0.0009],[-0.3956],[-0.32],[0.0098],[0.068],[-0.0314],[-0.0385],[0.0434],[0.0355],[0.0329],[0.0569],[-0.0276],[-0.4013],[0.0249],[0.12],[2.7502e-05],[-0.0004],[-6.4802e-05],[-1.1171e-06],[-2.9118e-06],[-6.3272e-06],[0.1099],[-1.2132e-05],[0.0004],[-6.644e-05],[-4.8512e-06],[-1.1319e-06],[-6.3775e-06],[-0.0356],[-0.0741],[0.0793],[-0.033],[-0.0757],[-0.0798],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[2.1691],[0.],0.033351862145636464
[0.0914],[0.9189],[0.163],[0.0027],[0.0046],[-0.4047],[-1.1291],[-0.1384],[0.7414],[-0.0284],[-0.047],[0.0082],[0.0393],[-0.0264],[0.0587],[-0.0326],[-0.4008],[-0.0243],[0.086],[-0.0017],[-0.3951],[-0.2551],[-0.0058],[0.1052],[-0.0308],[-0.0374],[0.0461],[0.036],[0.0377],[0.0533],[-0.0269],[-0.4009],[0.0248],[0.12],[2.6887e-05],[-0.0004],[-6.0759e-05],[-1.0483e-06],[-2.9274e-06],[-5.7733e-06],[0.1099],[-1.21e-05],[0.0004],[-6.2408e-05],[-4.6375e-06],[-1.138e-06],[-5.8275e-06],[-0.0354],[-0.0742],[0.0793],[-0.0349],[-0.075],[-0.0795],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[1.9326],[0.],0.06670372429127293
[0.1152],[0.9196],[0.1501],[0.0935],[0.004],[-0.4024],[-1.0071],[-0.0194],[0.7105],[-0.0293],[-0.0462],[0.0095],[0.0411],[-0.0199],[0.0642],[-0.0322],[-0.4007],[-0.0239],[0.0538],[-0.002],[-0.3948],[-0.2279],[0.0539],[0.2078],[-0.0306],[-0.0371],[0.0485],[0.0333],[0.0388],[0.0538],[-0.026],[-0.4011],[0.0245],[0.12],[2.6507e-05],[-0.0004],[-5.8158e-05],[-9.8306e-07],[-3.0654e-06],[-5.4213e-06],[0.1099],[-1.1717e-05],[0.0004],[-5.9831e-05],[-4.4454e-06],[-1.192e-06],[-5.4768e-06],[-0.0344],[-0.0744],[0.0794],[-0.0349],[-0.075],[-0.0795],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[1.8148],[0.],0.1000555864369094
[0.1375],[0.9221],[0.1372],[0.1795],[0.003],[-0.3998],[-0.8254],[0.0598],[0.6972],[-0.0303],[-0.0446],[0.0134],[0.0444],[-0.0057],[0.0662],[-0.031],[-0.4016],[-0.0237],[0.0243],[-0.0022],[-0.3945],[-0.1961],[0.0574],[0.3673],[-0.0304],[-0.0367],[0.0509],[0.0307],[0.0408],[0.0525],[-0.0255],[-0.401],[0.0243],[0.12],[2.66e-05],[-0.0004],[-5.8442e-05],[-9.6324e-07],[-3.2257e-06],[-5.4747e-06],[0.1099],[-1.128e-05],[0.0004],[-6.0084e-05],[-4.398e-06],[-1.2544e-06],[-5.5285e-06],[-0.0331],[-0.0746],[0.0795],[-0.0352],[-0.0749],[-0.0795],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[1.7735],[0.],0.13340744858254586
[0.1621],[0.9245],[0.1342],[0.2444],[0.0015],[-0.3975],[-0.6218],[0.0928],[0.6964],[-0.0312],[-0.0423],[0.0211],[0.0471],[0.0103],[0.065],[-0.029],[-0.4027],[-0.0235],[-0.0205],[-0.0025],[-0.3942],[-0.1614],[0.0656],[0.4578],[-0.0303],[-0.0365],[0.0525],[0.0299],[0.043],[0.0507],[-0.0253],[-0.4008],[0.0244],[0.12],[2.6819e-05],[-0.0004],[-5.9458e-05],[-9.608e-07],[-3.3504e-06],[-5.6125e-06],[0.1099],[-1.0972e-05],[0.0004],[-6.1062e-05],[-4.4038e-06],[-1.3028e-06],[-5.6644e-06],[-0.032],[-0.0748],[0.0797],[-0.0358],[-0.0748],[-0.0794],[0.],[0.],[0.],[154.682],[0.],[0.],[0.],[0.],[0.],[0.],[1.8889],[0.],0.16675931072818231
[0.189],[0.9258],[0.1386],[0.2895],[-0.0001],[-0.3956],[-0.417],[0.1053],[0.7016],[-0.0316],[-0.0397],[0.0312],[0.048],[0.0256],[0.0606],[-0.0264],[-0.403],[-0.0234],[-0.072],[-0.0028],[-0.3942],[-0.1351],[0.0861],[0.4449],[-0.0304],[-0.0364],[0.052],[0.0333],[0.0446],[0.0497],[-0.0251],[-0.4006],[0.0244],[0.12],[2.7129e-05],[-0.0004],[-6.0508e-05],[-9.5666e-07],[-3.4975e-06],[-5.7329e-06],[0.1099],[-1.0698e-05],[0.0004],[-6.2076e-05],[-4.4119e-06],[-1.3603e-06],[-5.7832e-06],[-0.0311],[-0.0749],[0.0798],[-0.0363],[-0.0747],[-0.0794],[0.],[0.],[0.],[122.8474],[0.],[0.],[0.],[0.],[0.],[0.],[1.8975],[0.],0.2001111728738188
[0.2184],[0.9265],[0.1489],[0.3108],[-0.0019],[-0.3942],[-0.2097],[0.1114],[0.7069],[-0.0314],[-0.0371],[0.0424],[0.0461],[0.0396],[0.0532],[-0.0235],[-0.4024],[-0.0233],[-0.1391],[-0.0031],[-0.3941],[-0.0961],[0.1041],[0.4125],[-0.0308],[-0.0361],[0.0509],[0.039],[0.0468],[0.048],[-0.0248],[-0.4004],[0.0243],[0.12],[2.7441e-05],[-0.0004],[-6.1257e-05],[-9.5023e-07],[-3.6338e-06],[-5.7981e-06],[0.1099],[-1.0516e-05],[0.0004],[-6.2792e-05],[-4.4156e-06],[-1.4134e-06],[-5.8475e-06],[-0.0306],[-0.075],[0.0799],[-0.0369],[-0.0744],[-0.0794],[0.],[0.],[0.],[118.9249],[0.],[0.],[0.],[0.],[0.],[0.],[1.9401],[0.],0.23346303501945526
[0.249],[0.9257],[0.1596],[0.3235],[-0.0033],[-0.3936],[-0.027],[0.123],[0.7101],[-0.0305],[-0.0351],[0.0522],[0.0411],[0.0502],[0.0447],[-0.0212],[-0.401],[-0.0233],[-0.2124],[-0.0034],[-0.394],[-0.0481],[0.1189],[0.3882],[-0.0311],[-0.0357],[0.0509],[0.0428],[0.0494],[0.0456],[-0.0235],[-0.4004],[0.024],[0.12],[2.7529e-05],[-0.0004],[-6.0573e-05],[-9.217e-07],[-3.7589e-06],[-5.663e-06],[0.1099],[-1.0368e-05],[0.0004],[-6.2088e-05],[-4.3493e-06],[-1.4623e-06],[-5.7132e-06],[-0.0303],[-0.075],[0.0799],[-0.0376],[-0.0741],[-0.0794],[0.],[0.],[0.],[98.5424],[0.],[0.],[0.],[0.],[0.],[0.],[1.9096],[0.],0.2668148971650917
[0.278],[0.9224],[0.1625],[0.3712],[-0.0039],[-0.3936],[0.031],[0.1549],[0.7086],[-0.0294],[-0.0348],[0.0556],[0.0367],[0.0533],[0.0415],[-0.0204],[-0.3999],[-0.0234],[-0.2649],[-0.0037],[-0.394],[-0.0198],[0.1379],[0.3643],[-0.0313],[-0.0356],[0.0521],[0.042],[0.051],[0.0442],[-0.0224],[-0.4003],[0.0237],[0.12],[2.7345e-05],[-0.0004],[-5.8451e-05],[-8.6886e-07],[-3.8827e-06],[-5.3452e-06],[0.1099],[-1.0165e-05],[0.0004],[-5.996e-05],[-4.2033e-06],[-1.5107e-06],[-5.3972e-06],[-0.0299],[-0.0747],[0.0799],[-0.0379],[-0.0737],[-0.0793],[0.],[0.],[0.],[88.3209],[27.4932],[0.],[0.],[0.],[0.],[0.],[1.914],[0.],0.30016675931072817
[0.3106],[0.9194],[0.1754],[0.3859],[-0.0038],[-0.3934],[0.0167],[0.1277],[0.7137],[-0.0282],[-0.0351],[0.055],[0.0375],[0.0526],[0.0422],[-0.0203],[-0.3996],[-0.0233],[-0.3334],[-0.0039],[-0.3939],[0.0079],[0.1624],[0.3989],[-0.0306],[-0.0352],[0.0534],[0.041],[0.0524],[0.0428],[-0.0219],[-0.4],[0.0237],[0.12],[2.8358e-05],[-0.0004],[-6.3567e-05],[-9.3779e-07],[-4.0297e-06],[-6.0637e-06],[0.1099],[-9.9165e-06],[0.0004],[-6.502e-05],[-4.4415e-06],[-1.5677e-06],[-6.11e-06],[-0.0295],[-0.0746],[0.0799],[-0.0383],[-0.0733],[-0.0793],[0.],[0.],[0.],[100.5906],[23.5899],[16.105],[0.],[0.],[0.],[0.],[2.0418],[0.],0.33351862145636463
[0.3449],[0.9149],[0.1944],[0.3549],[-0.0035],[-0.3933],[-0.0374],[0.0851],[0.7207],[-0.0285],[-0.0358],[0.0524],[0.0392],[0.0501],[0.044],[-0.0207],[-0.3998],[-0.0234],[-0.3661],[-0.0036],[-0.3937],[-0.0529],[0.2167],[0.2515],[-0.0291],[-0.0358],[0.0508],[0.0427],[0.0496],[0.0448],[-0.0203],[-0.4005],[0.0232],[0.12],[2.7821e-05],[-0.0004],[-5.9188e-05],[-8.4366e-07],[-4.1707e-06],[-5.4212e-06],[0.1099],[-9.6832e-06],[0.0004],[-6.0663e-05],[-4.1687e-06],[-1.623e-06],[-5.4716e-06],[-0.032],[-0.0741],[0.0794],[-0.0384],[-0.0728],[-0.0792],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[39.7368],[0.],[0.],[1.9879],[0.],0.3668704836020011
[0.3756],[0.9132],[0.1968],[0.3517],[-0.0025],[-0.3937],[-0.1865],[0.0398],[0.711],[-0.0297],[-0.0372],[0.0454],[0.0442],[0.0423],[0.05],[-0.0224],[-0.4008],[-0.0235],[-0.3584],[-0.0029],[-0.3934],[-0.1465],[0.2483],[-0.0275],[-0.0291],[-0.0367],[0.0458],[0.0466],[0.0444],[0.0492],[-0.0214],[-0.4008],[0.0232],[0.12],[2.8019e-05],[-0.0004],[-5.7718e-05],[-7.8653e-07],[-4.4137e-06],[-5.1261e-06],[0.1099],[-9.4521e-06],[0.0004],[-5.9178e-05],[-4.0386e-06],[-1.7182e-06],[-5.1785e-06],[-0.0317],[-0.0742],[0.0795],[-0.0379],[-0.073],[-0.0793],[0.],[0.],[0.],[41.3717],[0.],[0.],[0.],[42.4464],[0.],[0.],[1.4878],[0.],0.4002223457476376
[0.4085],[0.9159],[0.2018],[0.3164],[-0.0014],[-0.3945],[-0.335],[0.0189],[0.6767],[-0.0305],[-0.0387],[0.0372],[0.0494],[0.0334],[0.055],[-0.0243],[-0.4018],[-0.0236],[-0.3522],[-0.002],[-0.3939],[-0.2434],[0.1503],[0.1928],[-0.0296],[-0.0372],[0.0404],[0.05],[0.0389],[0.0521],[-0.0227],[-0.4014],[0.0234],[0.12],[2.8758e-05],[-0.0004],[-6.0614e-05],[-8.177e-07],[-4.5705e-06],[-5.5136e-06],[0.1099],[-9.2642e-06],[0.0004],[-6.2021e-05],[-4.1649e-06],[-1.7791e-06],[-5.5629e-06],[-0.032],[-0.0744],[0.0795],[-0.038],[-0.0729],[-0.0792],[0.],[0.],[0.],[225.3607],[0.],[0.],[0.],[5.0474],[0.],[0.],[1.0356],[0.],0.43357420789327406
[0.446],[0.9202],[0.2194],[0.2209],[-0.0006],[-0.3953],[-0.4319],[-0.0912],[0.6361],[-0.031],[-0.0397],[0.0306],[0.0528],[0.0275],[0.0565],[-0.0261],[-0.4023],[-0.0239],[-0.3391],[-0.0008],[-0.3943],[-0.3891],[0.1332],[0.3525],[-0.0303],[-0.0389],[0.0322],[0.054],[0.031],[0.0544],[-0.0242],[-0.4024],[0.0232],[0.12],[2.9267e-05],[-0.0004],[-6.185e-05],[-8.1204e-07],[-4.7632e-06],[-5.6172e-06],[0.1099],[-9.0566e-06],[0.0004],[-6.3221e-05],[-4.1839e-06],[-1.8544e-06],[-5.6655e-06],[-0.0333],[-0.0749],[0.0795],[-0.038],[-0.0728],[-0.0792],[0.],[0.],[0.],[158.6128],[0.],[0.],[0.],[0.],[0.],[0.],[0.6762],[0.],0.4669260700389105
[0.4816],[0.9259],[0.2279],[0.1256],[-0.0004],[-0.3957],[-0.4542],[-0.0344],[0.5453],[-0.0312],[-0.0399],[0.0279],[0.0542],[0.0264],[0.0549],[-0.0268],[-0.4024],[-0.024],[-0.2583],[0.001],[-0.3962],[-0.6155],[0.0085],[0.4459],[-0.0308],[-0.0416],[0.0191],[0.0577],[0.0161],[0.0602],[-0.0272],[-0.4029],[0.0235],[0.12],[2.8658e-05],[-0.0004],[-5.677e-05],[-7.0633e-07],[-4.9074e-06],[-4.8701e-06],[0.1099],[-8.852e-06],[0.0004],[-5.8159e-05],[-3.8777e-06],[-1.9109e-06],[-4.9234e-06],[-0.0345],[-0.075],[0.0795],[-0.0374],[-0.0731],[-0.0792],[0.],[99.6203],[0.],[219.1023],[0.],[0.],[0.],[0.],[0.],[0.],[0.0088],[0.],0.500277932184547
[0.513],[0.9264],[0.2222],[0.0795],[-0.0003],[-0.3955],[-0.4408],[0.0229],[0.4269],[-0.031],[-0.0396],[0.0303],[0.0518],[0.0283],[0.0526],[-0.026],[-0.403],[-0.0234],[-0.1485],[0.0025],[-0.399],[-0.8291],[-0.2173],[0.7189],[-0.0307],[-0.044],[0.006],[0.0578],[-0.0017],[0.0635],[-0.03],[-0.4028],[0.0239],[0.12],[2.8811e-05],[-0.0004],[-5.7104e-05],[-7.0795e-07],[-4.9627e-06],[-4.9373e-06],[0.1099],[-8.7595e-06],[0.0004],[-5.8496e-05],[-3.891e-06],[-1.9323e-06],[-4.9899e-06],[-0.0348],[-0.075],[0.0795],[-0.0364],[-0.0737],[-0.0793],[0.],[0.],[0.],[101.9695],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[3.2917],0.5336297943301834
[0.5462],[0.9244],[0.2249],[0.008],[-0.0005],[-0.3947],[-0.4002],[0.1095],[0.2807],[-0.0311],[-0.0392],[0.0319],[0.0511],[0.0273],[0.0599],[-0.0253],[-0.403],[-0.0232],[-0.0856],[0.0033],[-0.4008],[-0.9478],[-0.2925],[0.7267],[-0.0303],[-0.0452],[-9.6917e-07],[0.0551],[-0.0089],[0.061],[-0.0314],[-0.4021],[0.0239],[0.12],[2.8866e-05],[-0.0004],[-5.6965e-05],[-6.8048e-07],[-5.1233e-06],[-4.9115e-06],[0.1099],[-8.3667e-06],[0.0004],[-5.8334e-05],[-3.8225e-06],[-1.9951e-06],[-4.963e-06],[-0.0355],[-0.075],[0.0795],[-0.0361],[-0.074],[-0.0793],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[1.7037],0.5669816564758199
[0.576],[0.9223],[0.2227],[-0.054],[-0.0008],[-0.3944],[-0.3537],[0.0896],[0.1413],[-0.031],[-0.0386],[0.0336],[0.0525],[0.0309],[0.0573],[-0.0247],[-0.4028],[-0.0233],[-0.0072],[0.0038],[-0.4021],[-1.0257],[-0.2515],[0.6972],[-0.0301],[-0.0457],[9.6596e-05],[0.0511],[-0.0089],[0.0564],[-0.032],[-0.4014],[0.0238],[0.12],[2.8154e-05],[-0.0004],[-5.2609e-05],[-5.8853e-07],[-5.2341e-06],[-4.3184e-06],[0.1099],[-8.0088e-06],[0.0004],[-5.3979e-05],[-3.5415e-06],[-2.0384e-06],[-4.3731e-06],[-0.0362],[-0.0747],[0.0794],[-0.0355],[-0.0742],[-0.0793],[0.],[8.1389],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[1.5982],0.6003335186214563
[0.6002],[0.9178],[0.2058],[-0.0871],[-0.001],[-0.3943],[-0.3258],[0.1994],[-0.0287],[-0.031],[-0.0383],[0.0348],[0.0527],[0.0325],[0.0569],[-0.0241],[-0.4027],[-0.0232],[0.1092],[0.0042],[-0.4031],[-1.0867],[-0.1459],[0.6784],[-0.0299],[-0.0461],[-0.0006],[0.0481],[-0.01],[0.0529],[-0.0324],[-0.4008],[0.0238],[0.12],[2.772e-05],[-0.0003],[-4.9247e-05],[-5.0808e-07],[-5.3897e-06],[-3.836e-06],[0.1099],[-7.6598e-06],[0.0004],[-5.0621e-05],[-3.3085e-06],[-2.0994e-06],[-3.8931e-06],[-0.0364],[-0.0746],[0.0794],[-0.0343],[-0.0743],[-0.0794],[0.],[20.6912],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[1.5048],0.6336853807670928
[0.6249],[0.9183],[0.1921],[-0.127],[-0.0014],[-0.3941],[-0.282],[0.2426],[-0.126],[-0.031],[-0.0378],[0.0371],[0.0518],[0.0353],[0.0555],[-0.0236],[-0.4024],[-0.0233],[0.1991],[0.004],[-0.4023],[-1.0318],[-0.0228],[0.6692],[-0.0302],[-0.0457],[0.0022],[0.0461],[-0.0148],[0.0571],[-0.0322],[-0.4007],[0.0238],[0.12],[2.8589e-05],[-0.0004],[-5.2702e-05],[-5.3081e-07],[-5.6461e-06],[-4.2719e-06],[0.1099],[-7.2503e-06],[0.0004],[-5.4012e-05],[-3.4208e-06],[-2.1994e-06],[-4.325e-06],[-0.0364],[-0.0747],[0.0795],[-0.0332],[-0.0744],[-0.0794],[0.],[48.7385],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[1.4764],0.6670372429127293
[0.653],[0.9212],[0.1896],[-0.2049],[-0.0021],[-0.394],[-0.1878],[0.1972],[-0.0491],[-0.0305],[-0.0366],[0.0435],[0.047],[0.0413],[0.0513],[-0.0227],[-0.4018],[-0.0233],[0.258],[0.0035],[-0.4007],[-0.9106],[0.0529],[0.6715],[-0.0306],[-0.0448],[0.009],[0.0456],[-0.0115],[0.0649],[-0.0315],[-0.4013],[0.0236],[0.12],[2.844e-05],[-0.0004],[-5.1264e-05],[-4.9406e-07],[-5.7312e-06],[-4.0587e-06],[0.1099],[-7.0854e-06],[0.0004],[-5.256e-05],[-3.3174e-06],[-2.2324e-06],[-4.1129e-06],[-0.0375],[-0.0742],[0.0794],[-0.0327],[-0.0743],[-0.0794],[0.],[19.003],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[1.7289],0.7003891050583657
[0.6804],[0.9186],[0.1834],[-0.2738],[-0.0028],[-0.3937],[-0.1083],[0.2116],[0.0474],[-0.0302],[-0.036],[0.049],[0.0418],[0.0463],[0.047],[-0.0217],[-0.4012],[-0.0233],[0.3145],[0.0025],[-0.3989],[-0.7519],[0.1003],[0.6821],[-0.0311],[-0.0434],[0.0174],[0.0446],[0.0003],[0.0657],[-0.0303],[-0.4021],[0.0235],[0.12],[2.8891e-05],[-0.0004],[-5.2809e-05],[-5.0428e-07],[-5.8534e-06],[-4.2394e-06],[0.1099],[-6.9501e-06],[0.0004],[-5.4077e-05],[-3.3724e-06],[-2.2802e-06],[-4.2921e-06],[-0.0379],[-0.0738],[0.0793],[-0.0318],[-0.0742],[-0.0795],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[1.7716],0.7337409672040022
[0.7105],[0.9154],[0.1824],[-0.3613],[-0.0036],[-0.3935],[-0.0048],[0.1404],[0.2291],[-0.0306],[-0.0352],[0.0538],[0.0392],[0.052],[0.0418],[-0.0207],[-0.4003],[-0.0233],[0.3199],[0.0007],[-0.3966],[-0.514],[0.1163],[0.6928],[-0.0316],[-0.0408],[0.029],[0.0425],[0.0186],[0.0628],[-0.0277],[-0.4029],[0.0234],[0.12],[2.8724e-05],[-0.0004],[-5.0627e-05],[-4.5441e-07],[-5.9542e-06],[-3.8999e-06],[0.1099],[-6.8527e-06],[0.0004],[-5.1894e-05],[-3.2361e-06],[-2.3196e-06],[-3.9549e-06],[-0.0385],[-0.0733],[0.0793],[-0.0319],[-0.0743],[-0.0795],[0.],[0.],[0.],[0.],[0.],[0.],[90.1304],[0.],[0.],[0.],[0.],[1.884],0.7670928293496386
[0.7335],[0.9067],[0.1548],[-0.3654],[-0.0038],[-0.3936],[-0.0027],[0.2042],[0.3288],[-0.0307],[-0.0355],[0.0543],[0.0379],[0.0527],[0.0395],[-0.0206],[-0.3999],[-0.0234],[0.354],[-0.0014],[-0.3948],[-0.2724],[0.1089],[0.7032],[-0.0317],[-0.0378],[0.0414],[0.0403],[0.0355],[0.0559],[-0.0245],[-0.4028],[0.0233],[0.1199],[2.8242e-05],[-0.0003],[-4.5847e-05],[-3.5748e-07],[-6.0901e-06],[-3.1809e-06],[0.1099],[-6.7658e-06],[0.0004],[-4.715e-05],[-2.9618e-06],[-2.3731e-06],[-3.2413e-06],[-0.0382],[-0.073],[0.0793],[-0.0315],[-0.0741],[-0.0795],[0.],[41.0916],[0.],[0.],[0.],[0.],[51.6971],[0.],[0.],[0.],[0.],[1.9446],0.8004446914952752
[0.7565],[0.8998],[0.1175],[-0.3595],[-0.0039],[-0.3936],[0.0036],[0.2553],[0.3657],[-0.0312],[-0.0355],[0.0539],[0.0395],[0.0523],[0.0424],[-0.0206],[-0.3997],[-0.0234],[0.385],[-0.0031],[-0.3937],[-0.0581],[0.1289],[0.7051],[-0.0298],[-0.035],[0.0529],[0.0362],[0.0487],[0.0461],[-0.0216],[-0.4015],[0.0233],[0.1199],[2.8693e-05],[-0.0004],[-4.6235e-05],[-3.4241e-07],[-6.2803e-06],[-3.1797e-06],[0.1099],[-6.6343e-06],[0.0004],[-4.7528e-05],[-2.9547e-06],[-2.4473e-06],[-3.2405e-06],[-0.0374],[-0.0736],[0.0794],[-0.0311],[-0.0739],[-0.0795],[0.],[69.0862],[0.],[0.],[30.8324],[0.],[102.7887],[0.],[0.],[0.],[0.],[1.8074],0.8337965536409117
[0.7826],[0.8931],[0.086],[-0.357],[-0.0039],[-0.3936],[0.0006],[0.2799],[0.3771],[-0.0303],[-0.0354],[0.0534],[0.0404],[0.0521],[0.0429],[-0.0202],[-0.3997],[-0.0233],[0.4108],[-0.0039],[-0.3935],[0.0384],[0.2043],[0.6971],[-0.0289],[-0.0345],[0.058],[0.0331],[0.0536],[0.041],[-0.0205],[-0.4001],[0.0234],[0.1199],[2.9033e-05],[-0.0004],[-4.7436e-05],[-3.4613e-07],[-6.4093e-06],[-3.341e-06],[0.1098],[-6.4123e-06],[0.0004],[-4.8709e-05],[-2.9853e-06],[-2.4975e-06],[-3.4002e-06],[-0.0378],[-0.0732],[0.0793],[-0.0306],[-0.0738],[-0.0795],[0.],[101.7828],[0.],[0.],[0.],[41.6077],[73.9311],[0.],[0.],[0.],[0.],[1.7008],0.8671484157865481
[0.8131],[0.8842],[0.0675],[-0.355],[-0.0036],[-0.3937],[-0.042],[0.3337],[0.3609],[-0.0294],[-0.0357],[0.0513],[0.0422],[0.05],[0.0444],[-0.0205],[-0.3999],[-0.0233],[0.4032],[-0.0039],[-0.3936],[0.0247],[0.2141],[0.6966],[-0.0286],[-0.035],[0.056],[0.0355],[0.0531],[0.0418],[-0.0203],[-0.3996],[0.0233],[0.1199],[2.9708e-05],[-0.0004],[-5.0989e-05],[-3.8851e-07],[-6.5321e-06],[-3.8267e-06],[0.1098],[-6.1704e-06],[0.0004],[-5.2217e-05],[-3.1345e-06],[-2.5452e-06],[-3.8818e-06],[-0.0381],[-0.0729],[0.0792],[-0.0301],[-0.0742],[-0.0797],[0.],[47.3191],[0.],[0.],[0.],[47.2188],[56.7012],[0.],[0.],[0.],[0.],[1.8921],0.9005002779321846
[0.8483],[0.8764],[0.0603],[-0.3532],[-0.003],[-0.3935],[-0.1169],[0.3192],[0.3839],[-0.029],[-0.0363],[0.0473],[0.0454],[0.0458],[0.0485],[-0.0209],[-0.4004],[-0.0232],[0.3381],[-0.0038],[-0.3933],[0.0119],[0.0798],[0.7063],[-0.0283],[-0.0353],[0.0545],[0.0383],[0.0526],[0.0417],[-0.0204],[-0.3995],[0.0233],[0.1199],[2.9446e-05],[-0.0004],[-4.8619e-05],[-3.1547e-07],[-6.7544e-06],[-3.5055e-06],[0.1098],[-5.6143e-06],[0.0004],[-4.9843e-05],[-2.9296e-06],[-2.6322e-06],[-3.5612e-06],[-0.0381],[-0.0728],[0.0792],[-0.032],[-0.0743],[-0.0795],[0.],[0.],[0.],[0.],[0.],[29.6554],[0.],[0.],[0.],[0.],[0.],[2.2489],0.933852140077821
